URL,Perfume,Brand,Gender,Rating Value,Rating Count,Weighted Rating,Top,Middle,Base,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5,scent_profile,cluster,cluster_name
https://www.fragrantica.com/perfume/faberlic/bouquet-de-nuit-41656.html,bouquet-de-nuit,faberlic,women,3.67,197,3.6621911445650857,bergamot,"tuberose, jasmine, orange blossom","vanilla, vetiver",white floral,tuberose,vanilla,animalic,animalic,"bergamot tuberose, jasmine, orange blossom vanilla, vetiver white floral tuberose vanilla animalic animalic",8,White Floral Citrus
https://www.fragrantica.com/perfume/faberlic/fruity-story-10179.html,fruity-story,faberlic,women,3.67,244,3.662798787289326,"mango, melon, litchi","water notes, green notes, floral notes","peach, raspberry",fruity,sweet,tropical,aquatic,fresh,"mango, melon, litchi water notes, green notes, floral notes peach, raspberry fruity sweet tropical aquatic fresh",5,Fresh Green Aromatic
https://www.fragrantica.com/perfume/ferrari/scuderia-ferrari-racing-red-25062.html,scuderia-ferrari-racing-red,ferrari,men,3.67,224,3.6625521704156725,"lime, pepper, artemisia","lavender, metallic notes, clary sage","leather, cedar, tonka bean",fresh spicy,aromatic,citrus,lavender,metallic,"lime, pepper, artemisia lavender, metallic notes, clary sage leather, cedar, tonka bean fresh spicy aromatic citrus lavender metallic",9,Fresh Lavender Aromatic
https://www.fragrantica.com/perfume/lacoste-fragrances/eau-de-lacoste-l-12-12-bleu-powerful-56749.html,eau-de-lacoste-l-12-12-bleu-powerful,lacoste-fragrances,men,3.67,54,3.6594938829052,"mint, grapefruit",clary sage,"cedar, patchouli",aromatic,green,citrus,fresh spicy,woody,"mint, grapefruit clary sage cedar, patchouli aromatic green citrus fresh spicy woody",5,Fresh Green Aromatic
https://www.fragrantica.com/perfume/mexx/mexx-woman-summer-edition-12002.html,mexx-woman-summer-edition,mexx,women,3.67,63,3.659717417311472,"mango, kumquat, osmanthus","lily-of-the-valley, violet, angelica, coriander","iris, patchouli, musk, oak moss",tropical,fruity,powdery,violet,sweet,"mango, kumquat, osmanthus lily-of-the-valley, violet, angelica, coriander iris, patchouli, musk, oak moss tropical fruity powdery violet sweet",3,Powdery Iris Musky
https://www.fragrantica.com/perfume/vertus/ombre-40555.html,ombre,vertus,unisex,3.67,83,3.66018164226355,"oregano, bergamot","vanilla, labdanum, patchouli, cedar","agarwood (oud), sandalwood, woody notes, musk",woody,fresh spicy,oud,powdery,vanilla,"oregano, bergamot vanilla, labdanum, patchouli, cedar agarwood (oud), sandalwood, woody notes, musk woody fresh spicy oud powdery vanilla",2,Oud Leather Oriental
https://www.fragrantica.com/perfume/stephanie-de-bruijn-parfum-sur-mesure/saint-honore-66075.html,saint-honore,stephanie-de-bruijn-parfum-sur-mesure,women,3.67,27,3.6587608979916095,"tonka bean, heliotrope","vanilla, leather","sandalwood, white musk",vanilla,powdery,woody,sweet,sweet,"tonka bean, heliotrope vanilla, leather sandalwood, white musk vanilla powdery woody sweet sweet",4,Sweet Vanilla Gourmand
https://www.fragrantica.com/perfume/acqua-di-portofino/r-osa-eau-de-parfum-sensuelle-37731.html,r-osa-eau-de-parfum-sensuelle,acqua-di-portofino,women,3.67,43,3.659207115441074,"mango, pink pepper, yellow mandarin, bergamot","heliotrope, damask rose, jasmine sambac","vanilla, amber, musk, amberwood",vanilla,powdery,amber,rose,musky,"mango, pink pepper, yellow mandarin, bergamot heliotrope, damask rose, jasmine sambac vanilla, amber, musk, amberwood vanilla powdery amber rose musky",6,Rose Fruity Floral
https://www.fragrantica.com/perfume/adidas/fizzy-energy-14515.html,fizzy-energy,adidas,women,3.67,303,3.6634396191896723,"pineapple, grapefruit, red apple","papaya, camelia, jasmine","musk, woodsy notes",fruity,sweet,tropical,citrus,fresh,"pineapple, grapefruit, red apple papaya, camelia, jasmine musk, woodsy notes fruity sweet tropical citrus fresh",4,Sweet Vanilla Gourmand
https://www.fragrantica.com/perfume/alexandria-fragrances/monaliza-47880.html,monaliza,alexandria-fragrances,unisex,3.67,42,3.6591802674695346,"turkish rose, black currant, cloves, cinnamon, raspberry","patchouli, incense, sandalwood","ambroxan, white musk, benzoin",warm spicy,amber,woody,fruity,rose,"turkish rose, black currant, cloves, cinnamon, raspberry patchouli, incense, sandalwood ambroxan, white musk, benzoin warm spicy amber woody fruity rose",6,Rose Fruity Floral
https://www.fragrantica.com/perfume/alghabra-parfums/crown-of-marmara-57999.html,crown-of-marmara,alghabra-parfums,unisex,3.67,49,3.659365446265899,"leather, neroli, styrax, bergamot, peru balsam","resin, patchouli, caramel, benzoin","ambergris, sandalwood",amber,woody,balsamic,leather,citrus,"leather, neroli, styrax, bergamot, peru balsam resin, patchouli, caramel, benzoin ambergris, sandalwood amber woody balsamic leather citrus",7,Dark Leather Tobacco
https://www.fragrantica.com/perfume/animale/animale-temptation-5923.html,animale-temptation,animale,women,3.67,92,3.6603771405370638,"pear, bergamot","gardenia, jasmine, lily-of-the-valley","musk, sandalwood, vanilla",white floral,powdery,musky,woody,vanilla,"pear, bergamot gardenia, jasmine, lily-of-the-valley musk, sandalwood, vanilla white floral powdery musky woody vanilla",8,White Floral Citrus
https://www.fragrantica.com/perfume/animale/animale-temptation-for-men-5924.html,animale-temptation-for-men,animale,men,3.67,63,3.659717417311472,"cypress, lemon","nutmeg, lavender","sandalwood, tonka bean, exotic woods, musk",woody,aromatic,fresh spicy,lavender,powdery,"cypress, lemon nutmeg, lavender sandalwood, tonka bean, exotic woods, musk woody aromatic fresh spicy lavender powdery",9,Fresh Lavender Aromatic
https://www.fragrantica.com/perfume/antonio-alessandria/eperdument-40439.html,eperdument,antonio-alessandria,unisex,3.67,42,3.6591802674695346,"green notes, sea notes, ozonic notes, citruses, fennel","jasmine, orange blossom, honeysuckle, lily-of-the-valley","musk, woody notes, amber",white floral,green,citrus,fresh,ozonic,"green notes, sea notes, ozonic notes, citruses, fennel jasmine, orange blossom, honeysuckle, lily-of-the-valley musk, woody notes, amber white floral green citrus fresh ozonic",5,Fresh Green Aromatic
https://www.fragrantica.com/perfume/antonio-alessandria/nuit-rouge-24705.html,nuit-rouge,antonio-alessandria,unisex,3.67,93,3.660398383052434,"rhubarb, grapefruit, currant buds, bergamot, lemon","nutmeg, coffee, iris, saffron, black pepper, geranium","leather, incense, tonka bean, patchouli, vanilla, sandalwood, cedar, musk",fresh spicy,warm spicy,aromatic,citrus,woody,"rhubarb, grapefruit, currant buds, bergamot, lemon nutmeg, coffee, iris, saffron, black pepper, geranium leather, incense, tonka bean, patchouli, vanilla, sandalwood, cedar, musk fresh spicy warm spicy aromatic citrus woody",1,Warm Spicy Woody
https://www.fragrantica.com/perfume/aqualis/canvas-61694.html,canvas,aqualis,unisex,3.67,27,3.6587608979916095,"freesia, ylang-ylang, pink pepper, bergamot","iris, mimosa, jasmine sambac, rose oil","white musk, tonka bean, tobacco, vanilla, haitian vetiver",powdery,iris,yellow floral,floral,sweet,"freesia, ylang-ylang, pink pepper, bergamot iris, mimosa, jasmine sambac, rose oil white musk, tonka bean, tobacco, vanilla, haitian vetiver powdery iris yellow floral floral sweet",0,Floral Yellow White Flowers
https://www.fragrantica.com/perfume/atelier-cologne/iris-rebelle-48137.html,iris-rebelle,atelier-cologne,unisex,3.67,647,3.6656807026045213,"calabrian bergamot, black pepper, orange blossom","iris, lavender, may rose","white musk, guaiac wood, patchouli",iris,powdery,fresh spicy,woody,citrus,"calabrian bergamot, black pepper, orange blossom iris, lavender, may rose white musk, guaiac wood, patchouli iris powdery fresh spicy woody citrus",3,Powdery Iris Musky
